ID number,Smyrna #,p. #,,City,,,,,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,Writing Style
SMYD00323,D32.3,331,,Smyrna,,,,,Human figures,Portrait / Drawing of a face,((:caput hominis ad sin.)),((:head of person facing left)),Carbone
SMYT00331,T33.1,332,,Smyrna,,,,,,,,,Carbone
SMYT00332,T33.2,334,,Smyrna,,,,,,,,,Litt. Scariph.
SMYD00341,D34.1,335,,Smyrna,,,,,Geometric designs,Drawing of geometric pattern,((:quadrum cum linea)),((:square with line)),Litt. Scariph. 
SMYT00381,T38.1,336,,Smyrna,,,,,,,,,Litt. Scariph.
SMYT00421,T42.1,337,,Smyrna,,,,,,,,,Litt. Scariph.
SMYT00422,T42.2,338,,Smyrna,,,,,,"Declaration of love, isopsephism",,,Litt. Scariph.
SMYDP0541,DP54.1,339,,Smyrna,,,,,Human figures,Drawing of a face,((:duo capita hominum ad sin.)),((:heads of two people facing left)),Litt. Scariph. 
SMYDP0542,DP54.2,340,,Smyrna,,,,,Gladiators,Drawing of a gladiator,"((:gladiator ad dext., eques))","((:gladiator facing right, eques))",Litt. Scariph. 
SMYT00521,T52.1,341,,Smyrna,,,,,,,,,Carbone
SMYD00601,D60.1,342,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYDP0601,DP60.1,343,,Smyrna,,,,,Plants,Drawing of a garden,((:hortus)),((:garden)),Pictura
SMYTP0631,TP63.1,344,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0632,TP63.2,346,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0633,TP63.3,347,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0681,TP68.1,348,,Smyrna,,,,,,,,,Carbone
SMYTP0682,TP68.2,349,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0683,TP68.3,350,,Smyrna,,,,,,,,,Carbone
SMYTP0684,TP68.4,351,,Smyrna,,,,,,,,,Carbone
SMYTP0691,TP69.1,352,,Smyrna,,,,,,,,,Carbone
SMYTP0701,TP70.1,353,,Smyrna,,,,,,,,,Carbone
SMYTP0702,TP70.2,354,,Smyrna,,,,,,,,,Carbone
SMYTP0703,TP70.3,355,,Smyrna,,,,,,,,,Carbone
SMYTP0704,TP70.4,357,,Smyrna,,,,,,,,,Carbone
SMYTP0705,TP70.5,358,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0711,TP71.1,359,,Smyrna,,,,,,,,,Litt. Scariph.
SMYDP0711,DP71.1,361,,Smyrna,,,,,Plants,Drawing of an ivy leaf,((:folium heredae)),((:ivy leaf)),Carbone
SMYDP0712,DP71.2,362,,Smyrna,,,,,Plants,Drawing of Palm branches,((:palmae)),((:palm branches)),Litt. Scariph. 
SMYDP0713,DP71.3,363,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph.
SMYTP0721,TP72.1,363,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0722,TP72.2,365,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0723,TP72.3,366,,Smyrna,,,,,,,,,Litt. Scariph.
SMYDP0721,DP72.1,367,,Smyrna,,,,,Other ,Drawing of a symbol,((:tres circuli cum linea)),((:three circles with line)),Litt. Scariph. 
SMYTP0731,TP73.1,368,,Smyrna,,,,,,,,,Litt. Scariph.
SMYDP0731,DP73.1,369,,Smyrna,,,,,Animals,Drawing of a bird,((:avis)),((:bird)),Litt. Scariph. 
SMYDP0732,DP73.2,370,,Smyrna,,,,,Other,Drawing of uncertain image,((:imago incerta)),((:drawing unclear)),Carbone
SMYTP0741,TP74.1,371,,Smyrna,,,,,,,,,Carbone
SMYTP0742,TP74.2,372,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP0743,TP74.3,373,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP0744,TP74.4,374,,Smyrna,,,,,,,,,Carbone
SMYDP0741,DP74.1,375,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph. 
SMYDP0742,DP74.2,376,,Smyrna,,,,,Gladiators,Drawing of a gladiator,((:gladiator)),((:gladiator)),Carbone
SMYDP0743,DP74.3,377,,Smyrna,,,,,Gladiators,Drawing of a gladiator,((:gladiator ad dext.)),((:gladiator facing right)),Carbone
SMYDP0751,DP75.1,378,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph. 
SMYTP0761,TP76.1,379,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYDP0761,DP76.1,381,,Smyrna,,,,,Animals ,Drawing of a fish,((:piscis)),((:fish)),Litt. Scariph. 
SMYTP0771,TP77.1,382,,Smyrna,,,,,,,,,Carbone
SMYTP0781,TP78.1,383,,Smyrna,,,,,,,,,Carbone
SMYTP0782,TP78.2,385,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP0783,TP78.3,387,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYDP0781,DP78.1,389,,Smyrna,,,,,Boats ,Drawing of a boat,((:duo naves)),((:two boats)),Litt. Scariph. 
SMYDP0782,DP78.2,390,,Smyrna,,,,,Other,Drawing of an axe,((:securis)),((:axe)),"Litt. Scariph., Pictura"
SMYDP0783,DP78.3,391,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph. 
SMYDP0811,DP81.1,392,,Smyrna,,,,,Plants ,Drawing of a Rosette,((:circulus continens florem)),((:circle containing flower)),Litt. Scariph. 
